Distributor,ChemistType,Chemist,Products,M0123_Units,M0223_Units,M0323_Units,M0423_Units,M0523_Units,M0623_Units,M0723_Units,M0823_Units,M0923_Units,M1023_Units,M1123_Units,M1223_Units,total2023,M0124_Units,M0224_Units,M0324_Units,M0424_Units,M0524_Units,M0624_Units,M0724_Units,M0824_Units,M0924_Units,M1024_Units,M1124_Units,M1224_Units,M0125_Units,M0225_Units,M0325_Units,M0425_Units,M0525_Units,M0625_Units,M0725_Units,M0825_Units,M0925_Units,M1025_Units,M1125_Units,M1225_Units,M0123_Value,M0223_Value,M0323_Value,M0423_Value,M0523_Value,M0623_Value,M0723_Value,M0823_Value,M0923_Value,M1023_Value,M1123_Value,M1223_Value,M0124_Value,M0224_Value,M0324_Value,M0424_Value,M0524_Value,M0624_Value,M0724_Value,M0824_Value,M0924_Value,M1024_Value,M1124_Value,M1224_Value,M0125_Value,M0225_Value,M0325_Value,M0425_Value,M0525_Value,M0625_Value,M0725_Value,M0825_Value,M0925_Value,M1025_Value,M1125_Value,M1225_Value
Distributor-1,R,Chemist-1,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-262,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-1922,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-5585,Prod-1, 1 , -   , 2 , -   , 2 , -   , -   , 5 , 2 , -   , -   , -   , 12 , -   , 1 , 2 , -   , -   , 2 , -   , 2 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , -   , -   , -   , -   , 530 , -   ," 1,059 ", -   ," 1,059 ", -   , -   ," 2,648 "," 1,059 ", -   , -   , -   , -   , 636 ," 1,273 ", -   , -   ," 1,273 ", -   ," 1,273 ", -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-6147,Prod-1, 4 , -   , 2 , -   , 7 , 2 , 2 , -   , -   , -   , 3 , -   , 20 , 3 , 5 , 7 , 3 , 1 , -   , 1 , 4 , -   , -   , -   , -   , 1 , -   , -   , 5 , 4 , 9 , -   , 4 , -   , -   , -   , -   ," 2,119 ", -   ," 1,059 ", -   ," 3,707 "," 1,059 "," 1,059 ", -   , -   , -   ," 1,909 ", -   ," 1,909 "," 3,182 "," 4,454 "," 1,909 ", 636 , -   , 636 ," 2,545 ", -   , -   , -   , -   , 636 , -   , -   ," 3,182 "," 2,545 "," 5,727 ", -   ," 2,545 ", -   , -   , -   , -   
Distributor-1,R,Chemist-7022,Prod-1, 1 , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 5 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 2 , -   , -   , -   , -   , -   , 530 ," 1,059 ", -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   ," 6,364 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , 636 , -   ," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-8440,Prod-1, -   , -   , -   , -   , -   , -   , 3 , -   , 1 , -   , 5 , -   , 9 , -   , -   , -   , (2), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,589 ", -   , 530 , -   ," 3,182 ", -   , -   , -   , -   ," (1,273)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-9916,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 2 , 1 , 1 , -   , -   , -   , 2 , 2 , -   , 3 , 2 , -   , -   , -   , 3 , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   ," 1,273 ", 636 , 636 , -   , -   , -   ," 1,273 "," 1,273 ", -   ," 1,909 "," 1,273 ", -   , -   , -   ," 1,909 ", -   ," 1,273 "," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-10143,Prod-1, -   , -   , -   , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 3 , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 "," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,182 ", -   , -   , -   , -   ," 1,909 ", -   , -   , -   ," 1,273 "," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-15442,Prod-1, -   , -   , -   , -   , -   , -   , 10 , 10 , 15 , -   , 10 , -   , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,296 "," 5,296 "," 7,945 ", -   ," 6,364 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-13946,Prod-1, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-18656,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-4731,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-22769,Prod-1, -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , 4 , -   , -   , 1 , 2 , 2 , -   , 2 , 2 , -   , -   , 1 , 1 , 1 , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , 636 ," 1,273 "," 1,273 ", -   ," 1,273 "," 1,273 ", -   , -   , 636 , 636 , 636 , -   , -   , -   , -   , -   , 636 , 636 , -   , -   , -   , -   
